,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind,Country,Date
0,husavik,66.0449,-17.3389,41.95,90,100,2.51,IS,1652035899
1,uribia,11.7139,-72.266,90.66,51,53,14.43,CO,1652036171
2,sitka,57.0531,-135.33,49.98,66,25,5.55,US,1652036172
3,tiksi,71.6872,128.8694,-0.26,100,88,4.34,RU,1652036151
4,bredasdorp,-34.5322,20.0403,55.24,87,98,1.95,ZA,1652036143
5,kidal,18.4411,1.4078,93.2,4,0,11.3,ML,1652036173
6,carnarvon,-24.8667,113.6333,66.27,94,0,9.22,AU,1652035772
7,moose factory,51.2585,-80.6094,69.8,18,0,12.66,CA,1652036174
8,inhambane,-23.865,35.3833,73.38,94,20,4.61,MZ,1652035911
9,isangel,-19.55,169.2667,71.71,83,29,3.44,VU,1652035967
10,saint-philippe,-21.3585,55.7679,72.99,82,38,7.74,RE,1652036175
11,cape town,-33.9258,18.4232,58.26,83,0,6.91,ZA,1652036175
12,galle,6.0367,80.217,81.66,86,100,16.11,LK,1652036176
13,hilo,19.7297,-155.09,89.28,88,50,4.0,US,1652036176
14,jamestown,42.097,-79.2353,65.52,23,0,8.05,US,1652035852
15,hasaki,35.7333,140.8333,61.2,54,100,13.42,JP,1652036177
16,tineo,43.3376,-6.4145,56.25,81,6,3.4,ES,1652036178
17,avarua,-21.2078,-159.775,80.65,83,40,5.75,CK,1652036178
18,abonnema,4.7084,6.7931,80.1,85,98,6.64,NG,1652036179
19,nome,64.5011,-165.4064,33.87,93,100,19.57,US,1652036108
20,atuona,-9.8,-139.0333,78.87,73,2,16.15,PF,1652036180
21,rikitea,-23.1203,-134.9692,76.68,77,94,22.17,PF,1652035901
22,solnechnyy,50.7214,136.6319,37.53,75,97,8.28,RU,1652036181
23,hermanus,-34.4187,19.2345,52.81,75,90,5.44,ZA,1652036181
24,kapaa,22.0752,-159.319,77.11,82,77,5.01,US,1652036182
25,ushuaia,-54.8,-68.3,44.26,53,20,40.29,AR,1652036149
26,khatanga,71.9667,102.5,3.16,97,57,9.08,RU,1652036183
27,mataura,-46.1927,168.8643,49.48,97,84,1.52,NZ,1652035913
28,columbia,34.0007,-81.0348,68.49,56,75,10.36,US,1652036071
29,gawler,-34.6,138.7333,55.24,67,69,6.44,AU,1652036184
30,castro,-24.7911,-50.0119,68.04,59,5,4.47,BR,1652035928
31,busselton,-33.65,115.3333,56.43,81,4,2.8,AU,1652035905
32,vaini,-21.2,-175.2,73.56,88,20,8.05,TO,1652035925
33,leningradskiy,69.3833,178.4167,20.75,95,100,4.61,RU,1652036148
34,bluff,-46.6,168.3333,49.8,88,100,3.58,NZ,1652036115
35,buritizeiro,-17.3511,-44.9622,87.4,33,32,7.4,BR,1652036185
36,georgetown,5.4112,100.3354,82.33,92,20,2.3,MY,1652036168
37,kalianget,-7.05,113.9333,80.67,86,100,6.29,ID,1652036186
38,punta arenas,-53.15,-70.9167,48.31,53,40,18.41,CL,1652035913
39,saint george,37.1041,-113.5841,82.63,12,0,11.99,US,1652036186
40,hami,42.8,93.45,67.89,32,0,7.56,CN,1652036187
41,buluang,13.3068,123.3425,76.06,92,9,2.89,PH,1652036188
42,chokurdakh,70.6333,147.9167,8.73,86,68,7.34,RU,1652035838
43,port alfred,-33.5906,26.891,62.4,81,78,9.01,ZA,1652036188
44,hobart,-42.8794,147.3294,42.66,88,36,6.91,AU,1652036126
45,bengkulu,-3.8004,102.2655,77.5,81,100,3.38,ID,1652036189
46,olafsvik,64.8945,-23.7142,45.14,91,100,18.37,IS,1652036189
47,cueto,20.6439,-75.9356,90.14,45,15,12.35,CU,1652036190
48,cap malheureux,-19.9842,57.6142,73.47,79,1,1.99,MU,1652036190
49,general roca,-39.0333,-67.5833,71.62,40,100,21.59,AR,1652036191
50,comodoro rivadavia,-45.8667,-67.5,64.26,27,20,21.85,AR,1652036058
51,lebu,-37.6167,-73.65,56.61,95,100,4.72,CL,1652036003
52,abu kamal,34.4506,40.9171,71.64,30,0,6.02,SY,1652036192
53,rio grande,-32.035,-52.0986,78.91,72,0,9.4,BR,1652035991
54,kodiak,57.79,-152.4072,43.32,62,89,7.4,US,1652036193
55,grindavik,63.8424,-22.4338,57.15,87,75,14.97,IS,1652036193
56,sao felix do xingu,-6.6447,-51.995,87.6,57,71,4.29,BR,1652036194
